"","doi","volno","abstract"
"1",NA,"8805","The U.S. government established a national weather organization in 1870.
Changes in Great Lakes cargo and hull losses, and shipping rates from
Chicago to Buffalo, provide evidence of the value of storm warnings on
the Great Lakes. Nearly half of the Great Lakes storm-warning stations
were closed during the fall of 1883 because of appropriations
reductions. This exogenous shock permits the econometric estimation of
the value of storm-warning locations on the Great Lakes. The results
indicate that the social rate of return for weather expenditures during
the Weather Bureau's founding period was at least 60 percent."
"2",NA,"8805","This article studies how equity ownership and corporate control were
separated in the United States. Initially, railroads and industrial
firms were tightly controlled by a few shareholders; this situation was
altered in the 1890s by massive mergers and reorganizations, which
allowed private banks to control railroads and industrial firms. Between
1912 and 1939, bank control faded away as a result of a political
reaction against financial institutions. Using stock-market data from
1914, the author shows that the eviction of banks from corporate boards
depressed firm values by about 7 percent and that part of this value
came from cartelization."
"3",NA,"8805","The transition to a market economy has produced a substantial and rapid
change in the wage structure in Russia. Household surveys taken before
and after the transition indicate that overall wage inequality nearly
doubled from 1991 to 1994 and has reached a level higher than that in
the United States. Returns to both measured skills (education,
occupation) and unmeasured skills within groups have increased
considerably. Skill premiums across experience groups, however, have
become more compressed and relative wages of older workers have
declined. In addition, female wages have declined relative to male wages
across all percentiles of the wage distribution."
"4",NA,"8805","The authors investigate the remarkably short unemployment spells in the
Czech Republic compared to Slovakia and other Central and East European
economies. They estimate hazard functions and find that 40 to 5O percent
of the difference in unemployment durations between the two republics is
accounted for by differences in demographics and demand conditions. The
remainder is explained by differences in coefficients, proxying the
behavior of firms, individuals, and institutions. In both republics, the
unemployment compensation system has a moderately negative effect on the
exit rate from unemployment. Policymakers, hence, have latitude in
providing adequate social safety nets without jeopardizing efficiency."
"5",NA,"8805","The government's incentives to bail out inefficient projects are
determined by the trade-off between political benefits and economic
costs, the latter depending on the decentralization of government. Two
effects of federalism are derived: first, fiscal competition among local
governments under factor mobility increases the opportunity costs of
bailout and, thus, serves as a commitment device (the 'competition
effect'); second, monetary centralization, together with fiscal
decentralization, induces a conflict of interests and, thus, may harden
budget constraints and reduce inflation (the 'checks and balance
effect'). The authors' analysis is used to interpret China's recent
experience of transition to a market economy."
"6",NA,"8805","The authors develop a positive theory of how interest-group competition
shapes the organization of Congress and use it to explain campaign
contribution patterns in financial services. Since interest groups
cannot enforce fee-for-service contracts with legislators, legislators
have an incentive to create specialized, standing committees which
foster repeated dealing between interests and committee members. The
resulting reputational equilibrium supports high contributions and high
legislative effort for the interests. Contribution patterns by competing
interests in the congressional battle over whether banks can enter new
businesses support the theory, which also has implications for term
limits and campaign reform."
"7",NA,"8805","This paper explores leadership within organizations. Leadership is
distinct from authority because following a leader is a voluntary,
rather than coerced, activity of the followers. This paper considers how
a leader induces rational agents to follow her in situations when the
leader has incentives to mislead them."
"8",NA,"8805","Subjective uncertainty is characterized by ambiguity if the
decisionmaker has an imprecise knowledge of the probabilities of
payoff-relevant events. In such an instance, subjective beliefs are
better represented by a set of probability functions than by a unique
probability function. An ambiguity-averse decisionmaker adjusts his
choice on the side of caution in response to his imprecise knowledge of
the odds. This paper shows that ambiguity aversion can explain the
existence of incomplete contracts. The contextual setting is the
investment hold-up model which has been the focus of much of the
research on incomplete contracts."
"9",NA,"8805","Backward vertical integration by a dominant firm into an upstream
competitive industry causes both input and output prices to rise. The
dominant firm's advantage may or may not offset the negative effect of
higher prices on social welfare. Whether it does depends on a simple
indicator derived from input and output market shares and the degree of
prior vertical integration. A vertical merger is similar to a
hypothetical horizontal merger, suggesting that vertical merger policy
for this industry should be similar to horizontal merger policy. The
dominant firm model yields an observable sufficient indicator of
welfare-improving vertical mergers."
"10",NA,"8805","Patent litigation reveals important information about the validity of
the contested patent to other potential entrants. This paper explores
the implications of such informational externalities for entry dynamics
in the presence of multiple potential entrants. The nature of the entry
game can be one of either waiting or preemption depending on the degree
of patent protection. Therefore, the payoffs for the patentee and the
initial imitator are discontinuous in the degree of patent protection.
Furthermore, strengthening intellectual property rights is not
necessarily desirable for the patentee. The analysis may also help
explain the apparently puzzling practice of delaying patent suits."
